Sr.No,Scraped_Date,UID,URL,Product_Name,Description,Brand,Manufacturer,Category,SubCategory,Price,MRP,Discount,Rating,Review_Count,seo_url,url1,url2,url3,url4,url5,url6,url7,url8, 
10,19/06.,B0B8MXQDGD,https://www.amazon.in/Prestige-Platina-Popular-Induction-Compatible/dp/B0B8MXQDGD,Prestige Stainless Steel 2 Pc Cookware Set with Glass Lid Platina Popular Fry Pan 24cm Kadai 24cm TRIPLY Base Gas Induction Compatible Even Heating 5Y Warranty ISI,Includes Fry Pan cm and Kadai cm with 1 Common Glass Lid ideal for and cooking a variety of everyday The special impact-forged TRIPLY base ensures even heat prevents food from sticking or and enhances cooking tempered glass lid lets you monitor cooking easily while retaining heat and moisture for better flavour and faster Designed for use on both gas and induction heat-resistant handles provide a comfortable and secure ISI-certified for safety and backed by a 5-year Prestige warranty for long-lasting performance and peace of,Prestige,"TTK PRESTIGE LIMITED, REGISTERED OFFICE: PLOT NO . 38. SIPCOT INDUSTRIAL COMPLEX, HOSUR- 635 126, INDIA, TTK Prestige Limited,",Home & Kitchen,Cookware,1830.0,2700,32%,4.4,925,prestige-stainless-steel-2-pc-cookware-set-with-glass-lid-platina-popular-fry-pan-24cm-kadai-24cm-triply-base-gas-induction-compatible-even-heating-5y-warranty-isi,https://m.media-amazon.com/images/I/41GTdzVfEuL.jpg,https://m.media-amazon.com/images/I/61IzEJkpn4L.jpg,https://m.media-amazon.com/images/I/61FIHOeKg9L.jpg,https://m.media-amazon.com/images/I/61mWycKBzrL.jpg,https://m.media-amazon.com/images/I/61VxhQcOJtL.jpg,https://m.media-amazon.com/images/I/61nE2H5K00L.jpg,https://m.media-amazon.com/images/I/619qFzOE4xL.jpg, , 
11,19/06.,B07P5TXM79,https://www.amazon.in/Amazon-Brand-Solimo-Stainless-Induction/dp/B07P5TXM79,Amazon Brand - Solimo Stainless Steel Induction Bottom Dutch Oven with Glass Lid 5,Made from food-grade stainless steel Heavy-gauge stainless steel induction bottom Comes with a glass lid that has a bakelite knob to prevet heat transfer Bakelite ear handles to ensure safe handling Ideal for cooking rasam and curries or etc Comes with a capacity of 5 litres Has a depth of 12cm and a diameter of 24cm 1 Dutch Pot with glass lid,Amazon Brand - Solimo,"GALA NO 5 TO 9,13,14, BLDG.NO. 2&3 KUNAL INDUSTRIAL ESTATE, NEAR SBI BANK GAURAIPADA VASAI EAST, DIST. PALGHAR Ã¢ÂÂ 401208, INDIA, KEYUR KITCHENWARE",Home & Kitchen,Cookware,889.0,1250,29%,4.2,12267,amazon-brand-solimo-stainless-steel-induction-bottom-dutch-oven-with-glass-lid-5,https://m.media-amazon.com/images/I/71noRnLrSjL.jpg,https://m.media-amazon.com/images/I/818foT9zN2L.jpg,https://m.media-amazon.com/images/I/814hJqCwr-L.jpg,https://m.media-amazon.com/images/I/7143e2Vt9GL.jpg,https://m.media-amazon.com/images/I/41905pB7i5L.jpg,https://m.media-amazon.com/images/I/41X2JWeKR2L.jpg,https://m.media-amazon.com/images/I/81VO7FjP4sL.jpg, , 
12,19/06.,B0B2RLPF4Y,https://www.amazon.in/Hawkins-Paniyaram-Paniyarakkal-Ponganalu-NAPE26G/dp/B0B2RLPF4Y,Hawkins 24 cm Appe Non Stick Pan with Glass Aluminum 12 Red,Die-cast Technology allows for metal thickness exactly where so your pan is strong and heats yet is light and easy to handle 12 Cups each having a volume of 45 ml Inner PFOA Free 3-coat Nonstick - lasts low-oil snacks Ceramic Coating outside stays stain-proof Integrated Bracket-cum-Flame Guard - handle will stay cool and will not loosen,Hawkins,2 year manufacturer,Home & Kitchen,Cookware,1597.0,1750,9%,4.5,12205,hawkins-24-cm-appe-non-stick-pan-with-glass-aluminum-12-red,https://m.media-amazon.com/images/I/71TCTN9zdwL.jpg,https://m.media-amazon.com/images/I/51CuZCKy8uL.jpg,https://m.media-amazon.com/images/I/71hzjve8MsL.jpg,https://m.media-amazon.com/images/I/51INr3ylsEL.jpg,https://m.media-amazon.com/images/I/51bF7Bzx0bL.jpg,https://m.media-amazon.com/images/I/518CQ6FneSL.jpg, , , 
13,19/06.,B0C152KFVG,https://www.amazon.in/Hawkins-Ceramic-Nonstick-Induction-ICK25G/dp/B0C152KFVG,Hawkins Ceramic Nonstick Litre Deep Induction Deep Fry Pan with Glass Granite Kadai,Cooks healthy tasty superfast New Hawkins Ceramic Nonstick Inside - Excellent release uses less oil Not spoilt by high heat - Can cook tastier German Ceramic - High lasts longer No Heavy Metals - Ceramic based revolutionary nonstick,Hawkins,5 Years Manufacturer Guarantee,Home & Kitchen,Cookware,1935.0,2100,8%,4.5,1500,hawkins-ceramic-nonstick-litre-deep-induction-deep-fry-pan-with-glass-granite-kadai,https://m.media-amazon.com/images/I/41prxhe52pL.jpg,https://m.media-amazon.com/images/I/71XN-HyqKSL.jpg,https://m.media-amazon.com/images/I/51hDHuk1SLL.jpg,https://m.media-amazon.com/images/I/71YuUQNBLML.jpg,https://m.media-amazon.com/images/I/71bjVy4bttL.jpg,https://m.media-amazon.com/images/I/71vJ94yTjdL.jpg,https://m.media-amazon.com/images/I/41uHanEDUIL.jpg, , 
14,19/06.,B07TCQ2RG7,https://www.amazon.in/Hawkins-Stainless-Steel-Litre-Without/dp/B07TCQ2RG7,Hawkins 1 Litre Stainless Steel Tea Induction Sauce Chai Small Silver,food-grade Stainless Steel for healthy and hygienic cooking The mm extra-thick sandwich bottom stays heats evenly and will not develop hotspots The AISI 430 grade magnetic stainless steel base plate that makes the pan work well on both Gas and Induction It has a stay-cool plastic handle fixed on sturdy stainless steel bracket which is permanently riveted to the Pan Suitable for use on domestic ceramic and halogen stoves Perfect for making Boiling Cooking food for Reheating food and for tadka,Hawkins,"Hawkins, Hawkins Cookers Limited, F 101, Maker Tower Cuffe Parade, Mumbai 400 005, India, Contact: +91-22-2218 6607, enquiry@hawkinscookers.com",Home & Kitchen,Cookware,832.0,875,5%,4.6,4645,hawkins-1-litre-stainless-steel-tea-induction-sauce-chai-small-silver,https://m.media-amazon.com/images/I/41lnF-KxAKL.jpg,https://m.media-amazon.com/images/I/41x8z6qlq4S.jpg,https://m.media-amazon.com/images/I/51I7Con238L.jpg,https://m.media-amazon.com/images/I/518XClHgJLL.jpg,https://m.media-amazon.com/images/I/71Jw2D0D4BL.jpg, , , , 
15,27/06.,B0BSC9DVZ3,https://www.amazon.in/Shoetopia-Casual-Heeled-Sandals-Heel-1700/dp/B0BSC9DVZ3,Shoetopia Heel-1700 Heeled Sandal,Shoetopia Heels are Very Comfortable to well made with extra comfortable padded slip-resistant resin outsole and soft anti-sweat Fashionable and standing walking without pain all This pair of Heels is a perfect blend of trend and Ideal for Any Comfortable Heels are suitable for any go well with all Perfect for daily For Any Size Please measure your feet length before and compare the size chart to choose the most suitable Soft Bottom Sole - Made of the finest formula Our midsole is incredibly and It is much more resilient and shock providing exceptional comfort and ongoing stability in every single step that you tak,Not found,Not found,Fashion,Footwear,498.0,999,50%,4.0,Not found,shoetopia-heel-1700-heeled-sandal,https://m.media-amazon.com/images/I/71SrUojOHYL.jpg,https://m.media-amazon.com/images/I/71IJZLCTCoL.jpg,https://m.media-amazon.com/images/I/418Q1QFMZuL.jpg,https://m.media-amazon.com/images/I/71mpi3GYwVL.jpg,https://m.media-amazon.com/images/I/61bTKOHT8UL.jpg,https://m.media-amazon.com/images/I/71pE83ZjGIL.jpg, , , 
16,27/06.,B0BW4G4JBR,https://www.amazon.in/Bata-Comfit-DIAMONTE-Sandal-6618142/dp/B0BW4G4JBR,Bata Comfit Slip-on Sandal,Comfortable Footwear,Bata Comfit,"Batanagar, Batanagar",Fashion,Footwear,604.0,1099,45%,4.3,1106,bata-comfit-slip-on-sandal,https://m.media-amazon.com/images/I/41EJwH3S6UL.jpg,https://m.media-amazon.com/images/I/712NS-MkxrL.jpg,https://m.media-amazon.com/images/I/81YHO64gNcL.jpg,https://m.media-amazon.com/images/I/81F1126DoGL.jpg,https://m.media-amazon.com/images/I/41GsFzOJjIL.jpg,https://m.media-amazon.com/images/I/8168CWS1UNL.jpg, , , 
17,27/06.,B0BXWZ5864,https://www.amazon.in/BATA-AERIAL-SANDAL-Sandal-6616603/dp/B0BXWZ5864,Bata Wedge Heel Sandal,Comfortable and Trendy,Bata,"Batanagar, Batanagar",Fashion,Footwear,699.0,899,22%,3.9,977,bata-wedge-heel-sandal,https://m.media-amazon.com/images/I/61vTZzFlHML.jpg,https://m.media-amazon.com/images/I/41fJIxevB8L.jpg,https://m.media-amazon.com/images/I/41DTp8A2xpL.jpg,https://m.media-amazon.com/images/I/316eOKIdZ-L.jpg,https://m.media-amazon.com/images/I/51Un-nvsYjL.jpg,https://m.media-amazon.com/images/I/61iMNMQNKmL.jpg, , , 
18,27/06.,B0BM7XMPQQ,https://www.amazon.in/Metro-Glitter-Synthetic-Footwear-Lightweight/dp/B0BM7XMPQQ,Metro Fashion Sandals,Premium synthetic leather block heel sandals with stunning rose gold finish and glitter accents perfect for offering stable 2-inch heel height for comfortable all-day Lightweight slip-on design with glitter embellishments provides effortless wearing and glamorous ideal for women who want fashionable heels with superior 2-inch block heel height delivers perfect stability and elegance making these rose gold sandals suitable for and special events with Versatile rose gold color with glitter detailing complements both Western and ethnic perfect for wedding festive and evening,Metro,"HIGH STYLE SHOES, NO.27/2. GATE NO. 335 SANJAY GANDHI NAGAR. MUMBAI 400008",Fashion,Footwear,852.0,1690,50%,4.1,52,metro-fashion-sandals,https://m.media-amazon.com/images/I/51r7cU6rOvL.jpg,https://m.media-amazon.com/images/I/316P0ptmQtL.jpg,https://m.media-amazon.com/images/I/71i8Y5KmbYL.jpg,https://m.media-amazon.com/images/I/51Z7P6YItML.jpg,https://m.media-amazon.com/images/I/61SGNc1imhL.jpg,https://m.media-amazon.com/images/I/71yR0fDgv0L.jpg,https://m.media-amazon.com/images/I/41JyUQ6rK7L.jpg, , 
19,27/06.,B0B1Q7XY63,https://www.amazon.in/Bata-Women-SAMBA-Heels-5716133/dp/B0B1Q7XY63,Bata Wedge Heel Sandal,Material - PU Synthetic,Bata,"Batanagar, Batanagar, Bata India Limited, Batanagar, Kolkata - 700140, India",Fashion,Footwear,549.0,1999,0,4.0,453,bata-wedge-heel-sandal,https://m.media-amazon.com/images/I/31ZuqU-SffL.jpg,https://m.media-amazon.com/images/I/41bi5y6AZEL.jpg,https://m.media-amazon.com/images/I/61ydqSwsR8L.jpg,https://m.media-amazon.com/images/I/31KQTec4zFL.jpg,https://m.media-amazon.com/images/I/510XezTJnvL.jpg,https://m.media-amazon.com/images/I/213pgERLKKL.jpg, , , 
20,27/06.,B0FCSJ6VFC,https://www.amazon.in/Carrito-Sandals-Comfortable-Footwear-Numeric/dp/B0FCSJ6VFC,Women Wedge Heels Thong Comfortable Flats Sandals Comfort Orthopaedic Sandals for Doctor Arch Support Heel Cushion Lightweight Anti-Skid Sole Ultra-Cushioned Shock Absorbing Footbed Available in Open Toe Toe Separator Style,Size Fits true to size for standard please order one size larger if you have broad Product color may slightly vary due to photographic lighting or monitor settings ELEGANT WEDGES FOR Features a gentle wedge heel for added style and posture suitable for everyday use or semi-formal occasions STYLISH WOMEN SANDALS WITH BUCKLE Embellished with trendy buckle accents and textured these stylish footwear elevate any outfit FLAT SANDALS FOR WOMAN WITH CUSHIONED Soft inner sole provides exceptional ensuring they work well as stylish flats as well as slight heels VERSATILE AND Whether paired with ethnic attire or casual western these stylish women sandals match your unique style effortlessly ANTI-SKID SOLE FOR Lightweight anti-skid sole provides sturdy grip and ensuring safe and confident steps on various surfaces throughout the day,Carrito,"Shree Enterprises, Pandav nagar Ganesh nagar Delhi-110092",Fashion,Footwear,949.0,2499,62%,4.0,153,women-wedge-heels-thong-comfortable-flats-sandals-comfort-orthopaedic-sandals-for-doctor-arch-support-heel-cushion-lightweight-anti-skid-sole-ultra-cushioned-shock-absorbing-footbed-available-in-open-toe-toe-separator-style,https://m.media-amazon.com/images/I/61UcqaNvl2L.jpg,https://m.media-amazon.com/images/I/61JkWRRbI7L.jpg,https://m.media-amazon.com/images/I/61KGO4cDdrL.jpg,https://m.media-amazon.com/images/I/71hfW1jDjgL.jpg,https://m.media-amazon.com/images/I/71BLVYpDK0L.jpg,https://m.media-amazon.com/images/I/61J6psLXs3L.jpg, , , 
21,27/06.,B0CKW923PB,https://www.amazon.in/Shoetopia-Stylish-Strappy-Block-Heels/dp/B0CKW923PB,Shoetopia Stylish Strappy Block Heels for Women Open Toe Ankle Strap Sandals Perfect for PartiesWeddings Night Out Comfortable Stylish,Shoetopia Women Heels are Very Comfortable to well made with extra comfortable padded slip-resistant resin outsole and soft anti-sweat Fashionable and standing walking without pain all This pair of Heels is a perfect blend of trend and Ideal for Any Comfortable Heels are suitable for any go well with all Perfect for daily For Any Size Please measure your feet length before and compare the size chart to choose the most suitable Soft Bottom Sole - Made of the finest formula Our midsole is incredibly and It is much more resilient and shock providing exceptional comfort and ongoing stability in every single step that you tak,Shoetopia,"Dazzling Footwear, WZ-167 , Madhipur Village , New Delhi-110063, Dazzling Footwear, WZ-167 , Madhipur Village , New Delhi-110063",Fashion,Footwear,579.0,1999,71%,4.1,355,shoetopia-stylish-strappy-block-heels-for-women-open-toe-ankle-strap-sandals-perfect-for-partiesweddings-night-out-comfortable-stylish,https://m.media-amazon.com/images/I/61VjqQI8MZL.jpg,https://m.media-amazon.com/images/I/61bWBDwBaGL.jpg,https://m.media-amazon.com/images/I/61RafS7E75L.jpg,https://m.media-amazon.com/images/I/31tzW9hW61L.jpg,https://m.media-amazon.com/images/I/61bTKOHT8UL.jpg, , , , 
22,27/06.,B0CN4CBPZR,https://www.amazon.in/Liberty-Womens-Lpmxt-962E-Purple-Sandal/dp/B0CN4CBPZR,Liberty A-HA LPMXT-962E Casual Slingback Clogs for Women - Purple Pink Slip-On Breathable and Lightweight Ideal for All-Day Wear Suitable for Footwear,FOOTWEAR TYPE - Sandal SIZE - 38 Euro CARE INSTRUCTIONS - CLEAN THEM AFTER EACH WEAR,Liberty,"Liberty Shoes Limited, Liberty Shoes Limited - 13th Mile Stone GT Road Bastara, Kutail, Haryana - 132114",Fashion,Footwear,349.0,999,65%,4.0,783,liberty-a-ha-lpmxt-962e-casual-slingback-clogs-for-women-purple-pink-slip-on-breathable-and-lightweight-ideal-for-all-day-wear-suitable-for-footwear,https://m.media-amazon.com/images/I/71TA4-ZD1hL.jpg,https://m.media-amazon.com/images/I/51+8sy9+FaL.jpg,https://m.media-amazon.com/images/I/51AqpzqVQ1L.jpg,https://m.media-amazon.com/images/I/31oZq12XkFL.jpg,https://m.media-amazon.com/images/I/61DRUm-ANJL.jpg,https://m.media-amazon.com/images/I/31CyyfR8g6L.jpg, , , 
